S,T,Magnitude,X,Y,Temperature
0,100,0.062386666,0.9882486,-0.1528551,0.8554022
1,100,0.062386666,0.8404492,-0.5418903,0.8586111
2,100,0.075285314,0.8719929,-0.4895184,0.8649808
3,100,0.055285314,0.6359579,-0.7717237,0.8687835
4,100,0.061212136,0.9169847,-0.3989225,0.8618678
5,100,0.041212136,0.9969843,-0.0776036,0.8566188
6,100,0.083164004,0.6958414,-0.7181955,0.8536207
7,100,0.063164004,0.9947642,-0.102197,0.8514464
8,100,0.053937846,0.984248,0.1767935,0.8514942
9,100,0.073937846,0.9868078,-0.1618959,0.8473371
10,100,0.062255884,0.8410229,-0.5409995,0.8480938
11,100,0.082255884,0.8913889,-0.4532393,0.8478352
12,100,0.039502038,0.9594046,-0.2820334,0.8488027
13,100,0.079502038,0.9111043,-0.4121759,0.8438218
14,100,0.076731278,0.9372889,-0.3485534,0.8454214
15,100,0.016731278,0.891156,0.4536971,0.8433238
16,100,0.051441571,0.6455655,-0.7637049,0.8409291
17,100,0.131441571,0.7554887,-0.6551617,0.8411781
18,100,0.132490527,0.9240175,-0.3823501,0.8412835
19,100,0.172490527,0.9590211,-0.2833347,0.8416475
21,100,0.078809158,0.9900092,-0.1410025,0.8242624
22,100,0.129155192,0.8357406,-0.5491244,0.8268486
23,100,0.149155192,0.8694349,-0.4940475,0.8226628
24,100,0.103918254,0.5581389,-0.8297475,0.8214559
25,100,0.103918254,0.8154026,-0.5788943,0.8195402
26,100,0.017146325,0.3662948,-0.9304988,0.8163027
27,100,0.037146325,0.8993083,-0.4373153,0.8070019
28,100,0.050287352,0.9990607,-0.0433327,0.7996935
29,100,0.050287352,0.751914,-0.6592612,0.7929597
30,100,0.104618877,0.9352138,-0.3540835,0.7859482
31,100,0.084618877,0.9998759,0.0157545,0.7787069
32,100,0.09023224,0.94227,0.3348539,0.7788602
33,100,0.07023224,0.7752054,-0.6317092,0.7783046
34,100,0.085164626,0.971784,-0.2358725,0.770067
35,100,0.045164626,0.5316489,-0.8469648,0.7522701
36,100,0.054964837,0.8398583,-0.5428057,0.7482184
37,100,0.054964837,0.9760884,-0.217374,0.7540038
38,100,0.056862711,0.9537869,-0.3004838,0.7470019
39,100,0.076862711,0.9084596,-0.4179727,0.7461016
40,100,0.051874961,0.9895461,-0.1442172,0.7470689
41,100,0.051874961,0.9227269,-0.3854544,0.7427011
42,100,0.051960805,0.9502162,-0.3115912,0.7381609
43,100,0.051960805,0.9871227,0.1599648,0.7399521
44,100,0.089640937,0.9997634,-0.0217529,0.7471839
45,100,0.049640937,0.9760444,-0.2175717,0.7477874
46,100,0.053215299,0.9226605,-0.3856133,0.7356514
47,100,0.033215299,0.9479808,-0.3183277,0.7312644
48,100,0.045538894,0.8517051,0.5240213,0.7232279
49,100,0.065538894,0.9527802,-0.3036609,0.7297127
50,100,0.039420776,0.9786142,-0.2057046,0.7419252
51,100,0.019420776,0.9054892,-0.4243693,0.7364368
52,100,0.038657517,0.9972896,-0.073576,0.7295977
53,100,0.038657517,0.7676061,0.640922,0.7315517
54,100,0.019055346,0.8933861,-0.4492898,0.7262931
55,100,0.059055346,0.9956954,-0.0926857,0.7278544
56,100,0.05382666,0.5257571,0.8506348,0.7261973
57,100,0.03382666,0.9777072,0.209973,0.7355172
58,100,0.038411534,0.9894891,0.1446075,0.7533237
59,100,0.038411534,0.4340591,0.9008844,0.772998
60,100,0.05060289,0.9377182,0.3473968,0.7670498
61,100,0.05060289,0.6759996,0.7369019,0.778477
62,100,0.066624039,0.7683369,0.6400456,0.7861015
63,100,0.026624039,0.770789,0.6370905,0.8012356
64,100,0.04521423,0.3024814,0.9531553,0.8111398
65,100,0.04521423,0.1541361,0.9880496,0.8172701
66,100,0.06521423,-0.6285019,0.7778081,0.8262931
67,100,0.04521423,-0.5990192,0.8007346,0.8306992
68,100,0.009657134,0.436995,0.899464,0.8260919
69,100,0.069657134,0.9849055,0.1730926,0.8271264
70,100,0.009657134,0.692459,0.7214572,0.8470306
71,100,0.029657134,0.0381276,0.9992729,0.866475
72,100,0.051113708,0.6603189,-0.7509854,0.8754885
73,100,0.051113708,-0.0696834,-0.9975691,0.8886303
74,100,0,0,0,0.9102395
82,100,0,0,0,0.8906034
83,100,0.063263056,0.9159848,-0.401213,0.8894061
84,100,0.089794567,0.9414941,0.3370295,0.8951245
85,100,0.049794567,0.7673442,-0.6412354,0.9031418
86,100,0.129794567,0.2299371,-0.9732055,0.9069732
87,100,0,0,0,0.9113985
88,100,0,0,0,0.906341
89,100,0,0,0,0.9059961
90,100,0,0,0,0.9056513
91,100,0,0,0,0.8841667
92,100,0,0,0,0.89568
93,100,1.033841087,-0.2055087,-0.9786553,0.8878065
94,100,0.173841087,-0.071162,-0.9974648,0.910795
95,100,0.113841087,0.7415161,0.6709351,0.9154406
96,100,0.17977559,0.9692863,-0.245935,0.9180172
